number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,5000,13.31 ± 8.68,65.95 ± 112.63,12.62 ± 8.25,64.34 ± 104.40,88.08 ± 150.25
Total,5000,13.31 ± 8.68,65.95 ± 112.63,12.62 ± 8.25,64.34 ± 104.40,88.08 ± 150.25
