number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,4904,27.94 ± 12.01,30.24 ± 13.26,32.06 ± 14.73,34.71 ± 16.25,75.31 ± 31.43
1,57,27.74 ± 15.14,29.14 ± 16.54,23.88 ± 12.67,24.93 ± 13.87,66.81 ± 32.40
2,13,30.62 ± 16.69,32.15 ± 17.63,25.31 ± 14.77,26.38 ± 15.69,78.62 ± 31.86
3,10,27.70 ± 9.15,29.90 ± 10.14,29.30 ± 10.40,30.20 ± 11.98,69.90 ± 12.10
4,5,34.00 ± 27.16,37.20 ± 30.96,38.00 ± 9.77,39.00 ± 10.44,102.40 ± 44.05
5,5,25.00 ± 8.60,27.60 ± 9.79,20.40 ± 10.53,21.40 ± 11.91,63.60 ± 14.57
6,4,28.50 ± 12.23,29.50 ± 12.26,24.00 ± 2.16,24.25 ± 1.89,65.25 ± 13.60
7,2,28.50 ± 7.78,32.50 ± 10.61,29.00 ± 8.49,30.00 ± 11.31,68.00 ± 8.49
Total,5000,27.95 ± 12.07,30.23 ± 13.32,31.93 ± 14.72,34.55 ± 16.24,75.21 ± 31.42
