number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,392,29.80 ± 14.22,32.45 ± 16.01,32.80 ± 17.41,35.46 ± 19.20,77.31 ± 36.82
1,507,26.09 ± 10.78,28.16 ± 11.96,31.20 ± 14.61,33.61 ± 16.03,70.66 ± 31.21
2,568,27.61 ± 12.56,29.86 ± 13.99,28.48 ± 12.58,30.88 ± 14.06,68.11 ± 29.58
3,636,26.04 ± 10.09,28.11 ± 11.29,31.19 ± 13.60,33.87 ± 15.17,71.24 ± 28.16
4,567,29.09 ± 12.95,31.52 ± 14.37,29.21 ± 12.02,31.55 ± 13.42,72.39 ± 28.26
5,567,26.62 ± 9.93,28.86 ± 11.23,31.25 ± 13.72,33.82 ± 15.13,72.25 ± 27.88
6,405,29.13 ± 13.09,31.61 ± 14.29,29.61 ± 13.16,31.86 ± 14.46,73.41 ± 30.63
7,415,27.27 ± 12.33,29.50 ± 13.47,32.56 ± 14.55,35.44 ± 16.16,76.64 ± 31.41
8,260,29.86 ± 13.72,32.32 ± 14.82,29.46 ± 12.75,31.95 ± 13.95,75.01 ± 30.40
9,214,28.23 ± 14.50,30.64 ± 16.05,33.94 ± 13.72,36.71 ± 15.19,81.73 ± 31.17
10,128,28.06 ± 12.55,30.27 ± 13.67,32.60 ± 14.94,35.50 ± 16.44,78.77 ± 31.67
11,123,28.43 ± 12.05,30.78 ± 13.21,37.95 ± 17.56,40.96 ± 19.11,88.67 ± 32.39
12,78,30.38 ± 15.28,33.17 ± 16.70,33.05 ± 13.74,35.60 ± 15.28,82.96 ± 31.17
13,48,26.79 ± 10.95,29.25 ± 11.66,43.29 ± 19.70,47.17 ± 21.52,96.77 ± 35.70
14,30,36.10 ± 21.45,39.20 ± 23.36,38.17 ± 16.22,41.27 ± 18.63,103.20 ± 37.42
15,25,30.52 ± 15.62,33.12 ± 18.46,40.76 ± 22.58,44.88 ± 25.67,102.48 ± 42.00
16,12,33.08 ± 16.01,35.83 ± 17.44,39.42 ± 22.55,42.08 ± 24.02,102.25 ± 35.99
17,11,31.73 ± 23.62,34.45 ± 26.54,46.55 ± 25.07,49.36 ± 26.43,115.73 ± 49.92
18,8,40.62 ± 20.66,44.62 ± 24.16,46.38 ± 19.17,49.75 ± 19.51,123.12 ± 27.14
19,2,33.50 ± 17.68,37.00 ± 18.38,48.50 ± 43.13,51.50 ± 45.96,130.00 ± 45.25
20,3,49.00 ± 25.98,52.00 ± 25.98,34.67 ± 7.37,37.33 ± 5.86,114.33 ± 22.50
22,1,29.00 ± 0.00,33.00 ± 0.00,64.00 ± 0.00,70.00 ± 0.00,136.00 ± 0.00
Total,5000,27.91 ± 12.46,30.23 ± 13.81,31.34 ± 14.37,33.92 ± 15.88,74.53 ± 31.28
