number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,4818,28.01,30.32,32.17,34.85,76
1,47,22.32,23.66,24.45,25.91,62
2,72,27.39,28.81,27.4,28.07,66
3,19,34.89,37.21,20.47,21.79,77
4,23,27.3,28.22,25.3,25.74,64
5,4,20.25,20.25,20.0,21.25,44
6,13,26.23,27.54,30.46,30.38,67
7,1,20.0,17.0,24.0,29.0,50
8,1,24.0,26.0,20.0,19.0,44
10,2,23.0,23.0,31.5,31.5,64
