number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,1975,27.64,30.03,30.33,32.9,71
1,1081,27.72,29.85,33.29,35.98,78
2,362,26.85,29.05,30.59,32.94,70
3,588,27.88,30.05,32.38,35.05,76
4,201,27.22,29.25,30.3,32.69,71
5,300,28.91,31.25,34.11,36.88,81
6,133,29.05,31.35,32.33,34.75,78
7,140,30.4,33.04,34.7,37.64,82
8,70,29.83,31.89,32.71,35.5,77
9,59,28.73,31.08,37.9,40.97,86
10,27,32.74,35.3,33.67,36.67,93
11,22,32.41,34.5,40.09,43.18,96
12,10,33.5,36.7,42.0,46.5,102
13,13,35.08,38.62,38.62,41.92,105
14,3,35.0,38.67,44.0,47.0,107
15,8,30.0,31.62,51.62,55.75,116
16,1,24.0,27.0,37.0,40.0,70
17,3,51.0,53.67,35.67,39.0,141
18,2,30.5,34.0,77.5,80.0,158
19,1,8.0,8.0,46.0,51.0,92
24,1,63.0,71.0,20.0,17.0,130
